id,aid,mid,role,character,notes
1,1,1,actor,"Tony Stark",
2,2,1,actor,"Iron Patriot",
3,3,1,actor,"Jeffrey Leon Bridges",
4,1,2,actor,"Tony Stark",
5,5,2,actor,"Pepper Potts",
6,6,2,actor,"Iron Patriot",
7,1,3,actor,"Tony Stark",
8,8,3,actor,"Pepper Potts",
9,9,3,actor,"Iron Patriot",
10,10,4,actor,"Bruce Wayne/Batman",
11,11,4,actor,"Afred Pennyworth",
12,12,4,actor,"Ra's Al Ghul",
13,10,5,actor,"Bruce Wayne/Batman",
14,14,5,actor,"Afred Pennyworth",
15,15,5,actor,"Heath Andrew Ledger",
16,10,6,actor,"Bruce Wayne/Batman",
17,17,6,actor,"Afred Pennyworth",
18,18,6,actor,"Gary Leonard Oldman	",
19,19,7,actor,"Patrick Stewart",
20,20,7,actor,Logan/Wolverine,
21,21,7,actor,"Ian Murray McKellen",
22,20,8,actor,Logan/Wolverine,
23,19,8,actor,"Professor Charles Xavier",
24,24,8,actor,"Ian Murray McKellen	",
25,20,9,actor,Logan/Wolverine,
26,24,9,actor,"Ian Murray McKellen	",
27,27,9,actor,"Maria Halle Berry",
28,20,10,actor,Logan/Wolverine,
29,24,10,actor,"Ian Murray McKellen",
30,27,10,actor,"Maria Halle Berry",
31,20,11,actor,Logan/Wolverine,
32,29,11,actor,Victor/Sabretooth,
33,30,11,actor,"Daniel Sallis Huston",
34,20,12,actor,Logan/Wolverine,
35,35,12,actor,"Silver Samurai",
36,36,12,actor,"Mariko Yashida",
37,20,13,actor,Logan/Wolverine,
38,38,13,actor,"Professor Charles Xavier",
39,39,13,actor,"Eric Lensherr",
40,40,14,actor,"Harry James Potter",
41,7,14,actor,"Ronald Weasley",
42,4,14,actor,"Hermoine Granger",
43,40,15,actor,"Harry James Potter",
44,4,15,actor,"Hermoine Granger",
45,7,15,actor,"Ronald Weasley",
46,40,16,actor,"Harry James Potter",
47,4,16,actor,"Hermoine Granger",
48,7,16,actor,"Ronald Weasley",
49,40,17,actor,"Harry James Potter",
50,4,17,actor,"Hermoine Granger",
51,7,17,actor,"Ronald Weasley",
52,40,18,actor,"Harry James Potter",
53,4,18,actor,"Hermoine Granger",
54,7,18,actor,"Ronald Weasley",
55,40,19,actor,"Harry James Potter",
56,4,19,actor,"Hermoine Granger",
57,7,19,actor,"Ronald Weasley",
58,40,20,actor,"Harry James Potter",
59,4,20,actor,"Hermoine Granger",
60,7,20,actor,"Ronald Weasley",
61,40,21,actor,"Harry James Potter",
62,4,21,actor,"Hermoine Granger",
63,7,21,actor,"Ronald Weasley",
